track_id,track_name,artist_name,album_name,genre,song_version,language,lyricist,composer,release_year,track_no,bitrate,emotion_tag,song_likes,song_comments,user_id,user_city,user_gender,age_range,member_level,register_time,play_time,platform,play_duration,track_total_duration,is_skipped,is_repeat,is_collected,play_source
900101,走过咖啡屋 (摇滚版),轻烟大叔,摇滚翻唱集,摇滚,改编版,中文,庄奴,古月,2025,3,320,热血,325000,12800,20230701520,武汉,女,18-22,普通会员,2025-06-25,2025-12-02 08:49:16,手机端（Android）,132,255,0,1,0,系统推送
900202,Wack Jumper (Freestyle),Drakeo The Ruler/Rio Da Yung OG,Wack Jumper EP,说唱,录音室版,英文,Drakeo The Ruler,Rio Da Yung OG,2025,1,320,硬核,389000,15600,20230701367,成都,男,18-22,普通会员,2025-05-14,2025-12-06 20:55:35,手机端（iOS）,116,274,0,0,0,系统推送
900201,八方来财,广东烂仔Zaage炸鸡/广东说唱王,八方来财EP,说唱,录音室版,粤语,Zaage炸鸡,Zaage炸鸡,2025,1,320,喜庆,456000,18900,20230701243,广州,男,18-22,普通会员,2025-03-07,2025-12-20 13:50:48,手机端（Android）,233,243,0,1,0,主动搜索
900201,八方来财,广东烂仔Zaage炸鸡/广东说唱王,八方来财EP,说唱,录音室版,粤语,Zaage炸鸡,Zaage炸鸡,2025,1,320,喜庆,456000,18900,20230701558,广州,女,23-25,普通会员,2024-12-17,2025-12-18 09:41:07,手机端（iOS）,221,246,0,0,0,主动搜索
900102,间距 (摇滚版),进一,间距EP,摇滚,录音室版,中文,进一,进一,2025,1,320,青春,289000,9500,20230701195,上海,女,18-22,普通会员,2025-06-10,2025-12-13 22:35:06,手机端（Android）,181,218,0,0,0,好友推荐
900001,冬日来信 (Winter Love Letter),时代少年团,冬日来信EP,流行,录音室版,中文,张张,刘炫豆,2025,1,320,治愈,1258000,48920,20230701684,西安,男,18-22,普通会员,2025-10-10,2025-12-08 13:53:05,手机端（Android）,159,276,0,0,1,歌单播放
900002,明知山,戴佩妮/GAI周延,明知山EP,流行,录音室版,中文,戴佩妮,戴佩妮,2025,1,320,励志,986000,35680,20230701563,北京,男,18-22,普通会员,2024-12-28,2025-12-22 21:27:16,手机端（iOS）,123,246,0,0,1,系统推送
900004,街角的晚风,陈小春,街角的晚风EP,流行,录音室版,中文,陈曦,董冬冬,2025,1,320,复古,875000,29800,20230701477,成都,男,18-22,普通会员,2025-10-10,2025-12-03 07:02:12,平板端,173,242,0,0,0,系统推送
900201,八方来财,广东烂仔Zaage炸鸡/广东说唱王,八方来财EP,说唱,录音室版,粤语,Zaage炸鸡,Zaage炸鸡,2025,1,320,喜庆,456000,18900,20230701602,北京,男,26-30,普通会员,2025-07-09,2025-12-02 07:38:33,手机端（Android）,79,197,0,1,0,好友推荐
900301,阿米嘎蒂朵喵喵,匿名音乐人,阿米嘎蒂朵喵喵EP,电子,改编版,西班牙语,秘鲁童谣改编,电子制作人A,2025,1,192,魔性,523000,21800,20230701314,西安,男,26-30,普通会员,2025-07-24,2025-12-08 21:27:32,手机端（iOS）,181,294,0,0,0,系统推送
900101,走过咖啡屋 (摇滚版),轻烟大叔,摇滚翻唱集,摇滚,改编版,中文,庄奴,古月,2025,3,320,热血,325000,12800,20230701475,上海,未知,18-22,普通会员,2025-08-09,2025-12-12 08:47:53,手机端（iOS）,182,205,0,1,0,好友推荐
900004,街角的晚风,陈小春,街角的晚风EP,流行,录音室版,中文,陈曦,董冬冬,2025,1,320,复古,875000,29800,20230701124,重庆,女,18-22,普通会员,2025-03-05,2025-12-05 14:19:43,手机端（Android）,202,299,0,1,0,系统推送
900002,明知山,戴佩妮/GAI周延,明知山EP,流行,录音室版,中文,戴佩妮,戴佩妮,2025,1,320,励志,986000,35680,20230701150,上海,男,18-22,普通会员,2024-12-10,2025-12-11 08:11:00,手机端（iOS）,206,208,0,0,0,主动搜索
900102,间距 (摇滚版),进一,间距EP,摇滚,录音室版,中文,进一,进一,2025,1,320,青春,289000,9500,20230701596,深圳,男,18-22,普通会员,2025-10-13,2025-12-15 09:45:00,手机端（iOS）,196,275,0,0,0,歌单播放
900001,冬日来信 (Winter Love Letter),时代少年团,冬日来信EP,流行,录音室版,中文,张张,刘炫豆,2025,1,320,治愈,1258000,48920,20230701162,武汉,女,18-22,普通会员,2025-04-15,2025-12-08 12:35:05,手机端（Android）,113,266,0,0,1,好友推荐
900004,街角的晚风,陈小春,街角的晚风EP,流行,录音室版,中文,陈曦,董冬冬,2025,1,320,复古,875000,29800,20230701604,杭州,男,23-25,普通会员,2025-11-05,2025-12-05 20:01:56,手机端（Android）,195,201,0,0,0,主动搜索
900101,走过咖啡屋 (摇滚版),轻烟大叔,摇滚翻唱集,摇滚,改编版,中文,庄奴,古月,2025,3,320,热血,325000,12800,20230701433,南京,男,18-22,普通会员,2025-03-14,2025-12-09 14:57:11,手机端（Android）,107,258,0,0,0,系统推送
900001,冬日来信 (Winter Love Letter),时代少年团,冬日来信EP,流行,录音室版,中文,张张,刘炫豆,2025,1,320,治愈,1258000,48920,20230701025,上海,女,18-22,普通会员,2025-02-12,2025-12-22 13:55:03,手机端（iOS）,212,214,0,1,0,主动搜索
900301,阿米嘎蒂朵喵喵,匿名音乐人,阿米嘎蒂朵喵喵EP,电子,改编版,西班牙语,秘鲁童谣改编,电子制作人A,2025,1,192,魔性,523000,21800,20230701393,杭州,男,23-25,普通会员,2025-02-10,2025-12-25 07:22:00,手机端（iOS）,144,241,0,1,0,系统推送
