artist_names,歌曲数,总播放量,平均热度,上榜周数,平均排名,流派,总播放量_万,id
Ed Sheeran,24,7995366959,0.3915,221,112.2,流行,799536.7,artist_00000
Billie Eilish,28,6953205640,0.3826,141,99.7,流行,695320.56,artist_00001
Ariana Grande,47,6692521017,0.3807,183,77.3,流行,669252.1,artist_00002
Drake,70,6452855375,0.3032,204,89.7,说唱,645285.54,artist_00003
Post Malone,41,6230087971,0.3711,215,90.3,说唱,623008.8,artist_00004
XXXTENTACION,41,6078788384,0.3901,214,112.5,说唱,607878.84,artist_00005
Dua Lipa,20,4602453404,0.4154,189,72.2,流行,460245.34,artist_00006
Travis Scott,21,4552855457,0.3768,221,99.4,说唱,455285.55,artist_00007
The Weeknd,34,4286559106,0.3532,121,79.1,说唱,428655.91,artist_00008
Juice WRLD,46,4121542584,0.2538,152,95.7,说唱,412154.26,artist_00009
Imagine Dragons,34,3833982832,0.2743,216,96.9,摇滚,383398.28,artist_00010
Harry Styles,26,3255107945,0.4208,114,81.8,流行,325510.79,artist_00011
Lewis Capaldi,7,3018959977,0.4481,118,63.4,流行,301896.0,artist_00012
Taylor Swift,81,2751216389,0.3289,104,90.9,流行,275121.64,artist_00013
Shawn Mendes,27,2442662418,0.1862,187,111.6,流行,244266.24,artist_00014
Bad Bunny,35,2357196169,0.3517,120,91.9,说唱,235719.62,artist_00015
Tones And I,4,2304272008,0.4123,90,49.8,流行,230427.2,artist_00016
Khalid,21,2242836638,0.3856,154,94.2,流行,224283.66,artist_00017
Queen,16,2153415494,0.3883,136,122.8,摇滚,215341.55,artist_00018
Sam Smith,26,2094462927,0.3369,163,110.0,流行,209446.29,artist_00019
"Post Malone, 21 Savage",4,2075830835,0.3869,172,73.3,说唱,207583.08,artist_00020
Maluma,12,2033169184,0.2859,180,77.1,说唱,203316.92,artist_00021
Halsey,13,1997222797,0.3489,165,91.8,流行,199722.28,artist_00022
Lil Uzi Vert,35,1981523800,0.35,157,103.0,说唱,198152.38,artist_00023
"Post Malone, Swae Lee",6,1941311081,0.4241,140,45.0,说唱,194131.11,artist_00024
"Shawn Mendes, Camila Cabello",3,1778708944,0.4812,94,47.8,流行,177870.89,artist_00025
James Arthur,6,1759768119,0.4087,219,115.1,流行,175976.81,artist_00026
Ozuna,18,1745179547,0.2421,160,104.7,流行,174517.95,artist_00027
Kendrick Lamar,13,1653225109,0.4015,94,94.8,说唱,165322.51,artist_00028
BTS,56,1652049554,0.1092,67,82.0,流行,165204.96,artist_00029
Ava Max,10,1645961348,0.1035,126,92.5,流行,164596.13,artist_00030
J Balvin,18,1622471679,0.2839,136,106.9,说唱,162247.17,artist_00031
Justin Bieber,26,1482417262,0.2177,109,104.6,流行,148241.73,artist_00032
"Lady Gaga, Bradley Cooper",3,1455795340,0.4403,132,65.1,流行,145579.53,artist_00033
Selena Gomez,19,1439673145,0.2941,99,85.0,流行,143967.31,artist_00034
"Billie Eilish, Khalid",2,1333390087,0.4212,155,66.9,流行,133339.01,artist_00035
"Marshmello, Bastille",1,1317354189,0.4445,117,72.3,流行,131735.42,artist_00036
"Camila Cabello, Young Thug",2,1305095150,0.3636,114,84.8,流行,130509.52,artist_00037
Maroon 5,5,1283385711,0.1954,103,70.4,流行,128338.57,artist_00038
