时间,流派,播放量,歌曲数,平均热度,平均播放量,播放量_万
2017-01,摇滚,112417999,7,0.2977,5916736.7894736845,11241.8
2017-01,民谣,9311906,3,0.2013,3103968.6666666665,931.19
2017-01,流行,3339346463,150,0.1969,6746154.470707071,333934.65
2017-01,电子,328952693,18,0.2024,5221471.317460317,32895.27
2017-01,说唱,1283647121,64,0.252,5834759.640909091,128364.71
2017-02,摇滚,138069202,5,0.281,7266800.105263158,13806.92
2017-02,民谣,6083164,1,0.0226,3041582.0,608.32
2017-02,流行,3601673439,143,0.2002,7410850.697530864,360167.34
2017-02,电子,336164462,18,0.2001,5697702.745762712,33616.45
2017-02,说唱,1382382120,79,0.2332,5907615.897435897,138238.21
2017-03,摇滚,207603924,6,0.2835,7414425.857142857,20760.39
2017-03,流行,5234238738,157,0.2324,8374781.9808,523423.87
2017-03,电子,425185372,15,0.2804,6970252.0,42518.54
2017-03,说唱,1998936997,90,0.257,6989290.199300699,199893.7
2017-04,摇滚,139495236,5,0.2675,6974761.8,13949.52
2017-04,民谣,15576675,1,0.0429,5192225.0,1557.67
2017-04,流行,3716235477,145,0.2369,7742157.24375,371623.55
2017-04,电子,239103495,10,0.3177,7032455.735294118,23910.35
2017-04,说唱,1990435119,90,0.2623,7568194.368821293,199043.51
2017-05,摇滚,187674213,8,0.1908,6255807.1,18767.42
2017-05,民谣,32462326,1,0.0646,8115581.5,3246.23
2017-05,流行,3788148174,142,0.229,7941610.427672956,378814.82
2017-05,电子,238662735,8,0.3493,9179335.961538462,23866.27
2017-05,说唱,1994673075,84,0.254,7584308.269961977,199467.31
2017-06,摇滚,200071406,17,0.1577,6669046.866666666,20007.14
2017-06,民谣,11880836,1,0.0338,3960278.6666666665,1188.08
2017-06,流行,2908389182,151,0.2133,7613584.246073298,290838.92
2017-06,电子,147549501,7,0.3329,7026166.714285715,14754.95
2017-06,说唱,1271301961,67,0.2403,7751841.225609756,127130.2
2017-07,摇滚,241843932,11,0.1766,7113056.823529412,24184.39
2017-07,民谣,13751209,1,0.0299,3437802.25,1375.12
2017-07,流行,3644915600,160,0.2156,7438603.265306123,364491.56
2017-07,电子,145824362,7,0.319,5400902.296296297,14582.44
2017-07,说唱,1831328414,90,0.2497,7474809.853061224,183132.84
2017-08,摇滚,235796126,10,0.2055,6935180.176470588,23579.61
2017-08,民谣,12885122,1,0.0283,3221280.5,1288.51
2017-08,流行,3574244906,150,0.2223,7177198.606425703,357424.49
2017-08,电子,157695207,9,0.3105,4505577.342857143,15769.52
2017-08,说唱,1642667013,65,0.2428,7173218.397379912,164266.7
2017-09,摇滚,236498781,7,0.1736,9096106.961538462,23649.88
2017-09,民谣,9724990,1,0.0284,3241663.3333333335,972.5
2017-09,流行,4736522557,152,0.2307,7752082.744680851,473652.26
2017-09,电子,127063257,8,0.3154,4887048.346153846,12706.33
2017-09,说唱,2360317555,90,0.2538,7066819.026946108,236031.76
2017-10,摇滚,201673192,9,0.1543,7756661.230769231,20167.32
2017-10,流行,3499839054,143,0.2384,7368082.218947369,349983.91
2017-10,电子,114475825,6,0.3239,6025043.421052632,11447.58
2017-10,说唱,2029413488,86,0.252,7247905.314285714,202941.35
2017-11,摇滚,172840574,6,0.139,7514807.565217392,17284.06
2017-11,流行,3454887123,152,0.2446,7350823.665957447,345488.71
2017-11,电子,129669185,8,0.2539,6824693.947368421,12966.92
2017-11,说唱,2107948703,88,0.2522,7319266.329861111,210794.87
2017-12,摇滚,321988316,15,0.1742,6999746.0,32198.83
2017-12,民谣,34337884,2,0.1483,4905412.0,3433.79
2017-12,流行,4530599621,169,0.2536,7705101.396258503,453059.96
2017-12,电子,150278491,7,0.2519,6533847.434782608,15027.85
2017-12,说唱,2517121605,106,0.2419,7491433.348214285,251712.16
2018-01,摇滚,148292752,7,0.1493,7804881.684210527,14829.28
2018-01,流行,3721946501,158,0.2755,7473788.154618474,372194.65
2018-01,电子,111236319,6,0.2735,6179795.5,11123.63
2018-01,说唱,1967518064,84,0.2477,7424596.467924529,196751.81
2018-02,摇滚,130364887,8,0.1447,7668522.764705882,13036.49
2018-02,民谣,3864189,1,0.3374,3864189.0,386.42
2018-02,流行,3596414826,141,0.2728,7635700.267515924,359641.48
2018-02,电子,90240019,4,0.2669,5640001.1875,9024.0
2018-02,说唱,2376782855,97,0.2531,8056891.033898305,237678.29
2018-03,摇滚,195815332,8,0.1639,6316623.612903226,19581.53
2018-03,民谣,19386201,1,0.3375,3877240.2,1938.62
2018-03,流行,4065556709,135,0.2591,7656415.647834275,406555.67
2018-03,电子,100042941,5,0.2522,5265417.947368421,10004.29
2018-03,说唱,3484277099,123,0.2612,8416128.258454107,348427.71
2018-04,摇滚,136911358,7,0.1752,5952667.739130435,13691.14
2018-04,民谣,11941705,1,0.3383,3980568.3333333335,1194.17
2018-04,流行,3436041708,161,0.2668,7721442.040449439,343604.17
2018-04,电子,86371899,4,0.2648,6169421.357142857,8637.19
2018-04,说唱,2901005540,111,0.2551,9209541.396825397,290100.55
2018-05,摇滚,164788615,14,0.2137,5682366.0344827585,16478.86
2018-05,民谣,9203784,2,0.0407,4601892.0,920.38
2018-05,流行,3217768243,147,0.267,7465819.589327146,321776.82
2018-05,电子,86288736,5,0.2077,7844430.545454546,8628.87
2018-05,说唱,3142976444,106,0.3012,9611548.758409785,314297.64
2018-06,摇滚,198197441,12,0.214,5505484.472222222,19819.74
2018-06,民谣,61759426,3,0.133,5614493.2727272725,6175.94
2018-06,流行,3994939054,143,0.276,7802615.33984375,399493.91
2018-06,电子,143135725,6,0.208,7156786.25,14313.57
2018-06,说唱,3598714848,122,0.3001,8548016.266033255,359871.48
2018-07,摇滚,215409578,17,0.2303,5523322.512820513,21540.96
2018-07,民谣,35953227,4,0.1568,5136175.285714285,3595.32
2018-07,流行,3172501224,119,0.3088,8134618.523076923,317250.12
2018-07,电子,140566175,5,0.2284,7398219.736842105,14056.62
2018-07,说唱,3357913135,117,0.2832,9733081.550724637,335791.31
2018-08,摇滚,263104733,12,0.3305,5597973.042553191,26310.47
2018-08,民谣,4074102,1,0.1259,4074102.0,407.41
2018-08,流行,4043611004,160,0.3158,7851671.852427185,404361.1
2018-08,电子,280882713,9,0.2813,8511597.363636363,28088.27
2018-08,说唱,3446861195,113,0.3197,8531834.64108911,344686.12
2018-09,摇滚,223105752,12,0.3352,6374450.057142857,22310.58
2018-09,民谣,3925803,1,0.0292,3925803.0,392.58
2018-09,流行,2899541981,122,0.3329,7732111.949333333,289954.2
2018-09,电子,309039247,8,0.2909,9969007.967741935,30903.92
2018-09,说唱,3010699254,116,0.3115,8409774.452513967,301069.93
2018-10,摇滚,270777570,20,0.3278,6447085.0,27077.76
2018-10,流行,3064550683,121,0.3388,8064607.060526316,306455.07
