track_id,歌曲名,歌手,流派,发布时间,总播放量,平均热度,上榜周数,最佳排名,月度上榜次数,排名波动值,流派占比,能量,舞曲性,情绪,节奏,总播放量_万,榜单排名
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,流行,2017,2678476483,0.4613,217,1,52,114,0.5625,0.652,0.8249999999999998,0.931,95.977,267847.65,1
1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,Tones And I,流行,2019,2131900361,0.4499,90,1,22,0,0.5625,0.593,0.8259999999999998,0.541,98.083,213190.04,2
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,流行,2019,1728907464,0.482,106,1,25,0,0.5625,0.425,0.701,0.562,135.128,172890.75,3
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,流行,2019,1643100040,0.5016,99,4,24,0,0.5625,0.4050000000000001,0.501,0.446,109.891,164310.0,4
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,流行,2017,1642675210,0.434,210,4,50,0,0.5625,0.448,0.599,0.168,95.05,164267.52,5
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,说唱,2020,1558390240,0.6018,55,1,14,0,0.3817,0.73,0.514,0.334,171.005,155839.02,6
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,说唱,2018,1480781860,0.4305,158,1,38,0,0.3817,0.613,0.74,0.473,75.023,148078.19,7
6v3KW9xbzN5yKLt9YKDYA2,Señorita,"Shawn Mendes, Camila Cabello",流行,2019,1447788773,0.4643,89,1,21,0,0.5625,0.548,0.759,0.749,116.967,144778.88,8
2VxeLyX666F8uXCJ0dZF8B,Shallow,"Lady Gaga, Bradley Cooper",流行,2018,1433898882,0.4465,131,3,31,0,0.5625,0.385,0.572,0.323,95.799,143389.89,9
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,流行,2016,1423034483,0.4181,218,7,52,105,0.5625,0.557,0.358,0.494,85.04299999999999,142303.45,10
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,说唱,2018,1384559085,0.4305,139,2,33,0,0.3817,0.73,0.834,0.446,155.008,138455.91,11
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION,说唱,2017,1357992718,0.4189,188,7,44,0,0.3817,0.39100000000000007,0.872,0.43700000000000006,134.021,135799.27,12
2dpaYNEQHiRxtZbfNsse99,Happier,"Marshmello, Bastille",流行,2018,1317354189,0.4445,117,2,29,0,0.5625,0.792,0.687,0.671,100.01499999999999,131735.42,13
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,说唱,2019,1263867152,0.4884,82,2,20,0,0.3817,0.762,0.695,0.553,120.04199999999999,126386.72,14
7dt6x5M1jzdTEt8oCbisTK,Better Now,Post Malone,说唱,2018,1232129792,0.4325,114,1,27,0,0.3817,0.578,0.68,0.341,145.038,123212.98,15
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,"The Chainsmokers, Coldplay",流行,2017,1222038243,0.4236,159,2,41,0,0.5625,0.635,0.617,0.446,103.019,122203.82,16
6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,流行,2019,1206141450,0.4459,111,1,27,0,0.5625,0.317,0.778,0.327,140.048,120614.14,17
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,说唱,2016,1202610877,0.4125,189,13,46,-78,0.3817,0.7279999999999999,0.841,0.43,130.049,120261.09,18
0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,说唱,2019,1193107656,0.4763,69,1,17,0,0.3817,0.586,0.896,0.642,116.971,119310.77,19
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),"Post Malone, 21 Savage",说唱,2018,1121378253,0.4247,140,8,34,0,0.3817,0.52,0.585,0.129,159.801,112137.83,20
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"Billie Eilish, Khalid",流行,2018,1116939101,0.445,133,24,33,0,0.5625,0.296,0.351,0.12,115.284,111693.91,21
2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,流行,2019,1113693928,0.2413,81,2,20,0,0.5625,0.32,0.764,0.575,91.019,111369.39,22
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,流行,2019,1080081187,0.4989,69,4,17,0,0.5625,0.816,0.548,0.557,95.39,108008.12,23
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",说唱,2020,1065823079,0.4987,51,1,13,0,0.3817,0.69,0.746,0.49700000000000005,89.977,106582.31,24
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,说唱,2018,1050531796,0.4152,133,2,33,0,0.3817,0.537,0.921,0.711,128.009,105053.18,25
7fa9MBXhVfQ8P8Df9OEbD8,Girls Like You (feat. Cardi B),"Maroon 5, Cardi B",流行,2018,1047071580,0.3973,98,2,25,0,0.5625,0.541,0.851,0.448,124.959,104707.16,26
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,说唱,2018,1005979548,0.4308,122,7,29,0,0.3817,0.566,0.511,0.218,83.903,100597.95,27
7BKLCZ1jbUBVqRi2FVlTVw,Closer,"The Chainsmokers, Halsey",流行,2016,991530759,0.4113,160,2,42,192,0.5625,0.524,0.748,0.661,95.01,99153.08,28
5CtI0qwDJkDQGwXD1H1cLb,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",流行,2017,988107911,0.1203,61,1,15,0,0.5625,0.815,0.694,0.813,88.931,98810.79,29
7k4t7uLgtOxPwTpFmtJNTY,Tusa,"KAROL G, Nicki Minaj",流行,2019,987027818,0.4381,71,3,17,0,0.5625,0.715,0.803,0.574,101.085,98702.78,30
2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa,流行,2017,963701105,0.459,67,2,16,0,0.5625,0.7,0.762,0.608,116.073,96370.11,31
3a1lNhkSLSkpJE4MSHpDu9,Congratulations,"Post Malone, Quavo",说唱,2016,960785189,0.4136,125,20,33,0,0.3817,0.804,0.63,0.492,123.146,96078.52,32
696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,流行,2019,957145803,0.4425,66,2,17,0,0.5625,0.601,0.621,0.457,116.735,95714.58,33
25sgk305KZfyuqVBQIahim,Sweet but Psycho,Ava Max,流行,2018,946917412,0.0943,97,6,23,0,0.5625,0.704,0.719,0.628,133.002,94691.74,34
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,摇滚,2017,943782474,0.4284,142,68,34,0,0.0327,0.78,0.776,0.666,124.94899999999998,94378.25,35
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,说唱,2017,936032145,0.4356,93,1,24,0,0.3817,0.621,0.908,0.421,150.011,93603.21,36
58q2HKrzhC3ozto2nDdN4z,I Like It,"Cardi B, Bad Bunny, J Balvin",流行,2018,908062879,0.4303,74,2,18,0,0.5625,0.726,0.816,0.65,136.048,90806.29,37
5p7ujcrUXASCNwRaWNHR1C,Without Me,Halsey,流行,2018,904526701,0.4356,67,4,16,0,0.5625,0.488,0.752,0.533,136.041,90452.67,38
