歌手,年份,歌曲数,平均热度,上榜次数
A-Lin,2021,1,0.01,1
A-Lin,2023,2,0.01,4
A-Lin,2024,2,0.01,3
A-Lin,2025,1,0.01,2
Ayo97/周思涵,2022,1,0.01,1
Ayo97/周思涵,2023,1,0.01,2
Ayo97/周思涵,2024,1,0.01,4
Ayo97/周思涵,2025,1,0.01,4
BABYMONSTER (베이비몬스터),2024,6,0.01,9
BABYMONSTER (베이비몬스터),2025,1,0.01,1
BEYOND,2021,2,0.01,2
BEYOND,2022,1,0.01,4
BEYOND,2023,1,0.01,4
BEYOND,2024,1,0.01,5
BEYOND,2025,1,0.01,5
EXO (엑소),2021,5,0.01,5
EXO (엑소),2022,1,0.01,2
EXO (엑소),2023,3,0.01,4
EXO (엑소),2025,1,0.01,4
G.E.M. 邓紫棋,2021,4,0.01,4
G.E.M. 邓紫棋,2022,8,0.01,10
G.E.M. 邓紫棋,2023,7,0.01,15
G.E.M. 邓紫棋,2024,5,0.01,16
G.E.M. 邓紫棋,2025,19,0.01,46
ILLIT (아일릿),2024,4,0.01,9
ILLIT (아일릿),2025,1,0.01,1
IU (아이유),2022,6,0.01,11
LBI利比（时柏尘）,2022,3,0.01,7
LBI利比（时柏尘）,2023,1,0.01,1
LBI利比（时柏尘）,2025,3,0.01,6
L（桃籽）,2022,3,0.01,4
L（桃籽）,2023,3,0.01,6
L（桃籽）,2025,1,0.01,1
NCT DREAM (엔시티 드림),2021,3,0.01,5
NCT DREAM (엔시티 드림),2022,3,0.01,5
NCT DREAM (엔시티 드림),2023,1,0.01,1
Taylor Swift,2021,11,0.01,12
Taylor Swift,2022,1,0.01,1
Taylor Swift,2023,2,0.01,4
Taylor Swift,2024,5,0.01,11
Taylor Swift,2025,1,0.01,1
Zyboy忠宇,2022,3,0.01,7
Zyboy忠宇,2023,3,0.01,7
aespa (에스파),2022,3,0.01,7
aespa (에스파),2023,1,0.01,2
aespa (에스파),2025,4,0.01,7
cici_,2022,1,0.01,1
cici_,2023,9,0.01,16
cici_,2024,1,0.01,1
en (王翊恩),2021,3,0.01,4
en (王翊恩),2022,2,0.01,3
en (王翊恩),2023,7,0.01,9
en (王翊恩),2024,17,0.01,24
en (王翊恩),2025,6,0.01,8
ycccc,2021,1,0.01,2
ycccc,2022,1,0.01,4
ycccc,2023,4,0.01,4
ycccc,2024,1,0.01,1
七叔（叶泽浩）,2021,5,0.01,7
七叔（叶泽浩）,2022,3,0.01,3
于冬然,2021,1,0.01,1
于冬然,2022,1,0.01,1
于冬然,2023,3,0.01,3
于冬然,2024,5,0.01,7
于冬然,2025,1,0.01,1
于文文,2021,1,0.01,1
于文文,2022,1,0.01,1
于文文,2023,2,0.01,7
于文文,2024,1,0.01,4
于文文,2025,1,0.01,4
五月天,2021,2,0.01,3
五月天,2022,5,0.01,10
五月天,2023,10,0.01,19
五月天,2025,1,0.01,3
任夏,2022,1,0.01,1
任夏,2023,2,0.01,4
任夏,2024,6,0.01,11
任夏,2025,3,0.01,3
任然,2021,7,0.01,8
任然,2022,6,0.01,9
任然,2023,2,0.01,5
伯贤 (백현),2021,6,0.01,13
余佳运,2022,2,0.01,3
余佳运,2023,1,0.01,1
余佳运,2024,4,0.01,4
余佳运,2025,3,0.01,4
侯泽润,2023,4,0.01,6
侯泽润,2024,4,0.01,6
凤凰传奇,2022,1,0.01,1
凤凰传奇,2023,3,0.01,4
凤凰传奇,2024,1,0.01,4
凤凰传奇,2025,1,0.01,2
刘宇宁,2021,3,0.01,3
刘宇宁,2022,1,0.01,1
刘宇宁,2023,2,0.01,3
刘宇宁,2024,1,0.01,2
刘宇宁,2025,4,0.01,6
刘耀文,2021,1,0.01,1
刘耀文,2023,2,0.01,2
刘耀文,2025,5,0.01,14
刘雨昕,2021,1,0.01,1
刘雨昕,2022,5,0.01,8
刘雨昕,2023,1,0.01,2
半吨兄弟,2022,7,0.01,8
半吨兄弟,2023,9,0.01,11
半吨兄弟,2024,6,0.01,7
半吨兄弟,2025,4,0.01,5
单依纯,2021,3,0.01,3
单依纯,2022,1,0.01,1
单依纯,2023,2,0.01,3
单依纯,2024,2,0.01,7
单依纯,2025,4,0.01,5
吕口口,2021,2,0.01,2
吕口口,2022,3,0.01,3
吕口口,2023,3,0.01,4
吕口口,2024,4,0.01,6
吕口口,2025,5,0.01,6
告五人,2021,1,0.01,1
告五人,2022,5,0.01,7
告五人,2023,5,0.01,13
告五人,2024,1,0.01,3
告五人,2025,2,0.01,3
周传雄,2021,2,0.01,2
周传雄,2022,1,0.01,2
周传雄,2023,4,0.01,9
周传雄,2024,4,0.01,8
周传雄,2025,2,0.01,9
周杰伦,2021,25,0.01,38
周杰伦,2022,19,0.01,45
周杰伦,2023,24,0.01,94
周杰伦,2024,16,0.01,36
周杰伦,2025,15,0.01,34
周深,2021,11,0.01,15
周深,2022,13,0.01,21
周深,2023,10,0.01,15
周深,2024,10,0.01,15
周深,2025,11,0.01,17
孙燕姿,2022,2,0.01,4
孙燕姿,2023,3,0.01,11
孙燕姿,2024,3,0.01,10
孙燕姿,2025,3,0.01,13
小阿七,2021,2,0.01,2
小阿七,2022,2,0.01,4
小阿七,2023,1,0.01,2
小阿七,2025,1,0.01,2
就是南方凯,2023,2,0.01,2
就是南方凯,2024,3,0.01,8
希林娜依高,2023,4,0.01,5
希林娜依高,2024,4,0.01,6
希林娜依高,2025,1,0.01,1
庄东茹,2022,1,0.01,2
庄东茹,2023,6,0.01,6
庄东茹,2024,2,0.01,2
张杰,2021,1,0.01,1
张杰,2022,2,0.01,3
张杰,2023,6,0.01,11
张杰,2024,2,0.01,8
张杰,2025,2,0.01,5
张碧晨,2021,4,0.01,5
张碧晨,2022,3,0.01,4
张碧晨,2023,5,0.01,13
张碧晨,2024,3,0.01,5
张碧晨,2025,2,0.01,3
张紫豪,2023,1,0.01,2
张紫豪,2024,1,0.01,5
张紫豪,2025,1,0.01,5
张艺兴,2021,1,0.01,2
张艺兴,2022,2,0.01,2
张艺兴,2023,1,0.01,1
张艺兴,2024,2,0.01,2
张艺兴,2025,2,0.01,3
张芸京,2022,1,0.01,2
张芸京,2023,1,0.01,5
张芸京,2024,1,0.01,5
张芸京,2025,1,0.01,5
张远,2021,1,0.01,2
张远,2023,3,0.01,3
张远,2024,3,0.01,6
张远,2025,2,0.01,3
张靓颖,2021,1,0.01,1
张靓颖,2023,1,0.01,1
张靓颖,2024,2,0.01,4
张靓颖,2025,3,0.01,5
张韶涵,2021,2,0.01,2
张韶涵,2023,1,0.01,1
张韶涵,2024,2,0.01,3
张韶涵,2025,2,0.01,4
徐佳莹,2021,1,0.01,1
徐佳莹,2022,1,0.01,2
徐佳莹,2023,2,0.01,6
徐佳莹,2024,2,0.01,3
戴羽彤,2021,1,0.01,1
戴羽彤,2022,1,0.01,1
戴羽彤,2023,4,0.01,4
戴羽彤,2024,3,0.01,5
房东的猫,2021,3,0.01,3
房东的猫,2022,2,0.01,3
房东的猫,2023,2,0.01,2
房东的猫,2024,1,0.01,1
房东的猫,2025,1,0.01,2
承桓,2023,2,0.01,5
承桓,2024,1,0.01,3
承桓,2025,2,0.01,2
方大同,2023,1,0.01,1
方大同,2024,3,0.01,11
方大同,2025,2,0.01,12
时代少年团,2021,3,0.01,4
时代少年团,2022,3,0.01,4
时代少年团,2023,1,0.01,3
时代少年团,2025,1,0.01,1
旺仔小乔,2021,1,0.01,1
旺仔小乔,2022,8,0.01,13
旺仔小乔,2023,4,0.01,5
朴树,2022,1,0.01,2
朴树,2023,1,0.01,6
朴树,2024,1,0.01,2
朴树,2025,1,0.01,1
李荣浩,2021,2,0.01,2
李荣浩,2022,2,0.01,2
李荣浩,2023,3,0.01,4
李荣浩,2024,4,0.01,7
李荣浩,2025,3,0.01,6
杜宣达,2023,1,0.01,1
杜宣达,2024,3,0.01,5
杜宣达,2025,2,0.01,6
杨丞琳,2022,3,0.01,3
杨丞琳,2023,1,0.01,2
杨丞琳,2024,2,0.01,5
杨丞琳,2025,1,0.01,4
林俊杰,2021,6,0.01,7
林俊杰,2022,13,0.01,21
林俊杰,2023,14,0.01,49
林俊杰,2024,12,0.01,34
林俊杰,2025,14,0.01,42
柯柯柯啊,2022,2,0.01,4
柯柯柯啊,2023,3,0.01,4
柯柯柯啊,2024,3,0.01,5
柯柯柯啊,2025,1,0.01,1
梁静茹,2022,1,0.01,1
梁静茹,2023,4,0.01,4
梁静茹,2024,2,0.01,2
梁静茹,2025,1,0.01,4
毛不易,2021,4,0.01,5
毛不易,2022,6,0.01,8
毛不易,2023,3,0.01,5
毛不易,2024,5,0.01,11
毛不易,2025,1,0.01,5
汪苏泷,2021,2,0.01,2
汪苏泷,2023,1,0.01,1
汪苏泷,2024,6,0.01,12
汪苏泷,2025,7,0.01,11
洋澜一,2023,1,0.01,2
洋澜一,2024,4,0.01,5
洋澜一,2025,4,0.01,4
海来阿木,2021,1,0.01,1
海来阿木,2022,2,0.01,3
海来阿木,2023,5,0.01,6
海来阿木,2024,2,0.01,3
海来阿木,2025,2,0.01,3
温奕心,2022,2,0.01,4
温奕心,2023,1,0.01,5
温奕心,2024,1,0.01,3
温奕心,2025,1,0.01,1
王一博,2021,2,0.01,3
王一博,2022,2,0.01,3
王一博,2023,1,0.01,2
王一博,2024,2,0.01,4
王一博,2025,2,0.01,3
王力宏,2023,1,0.01,5
王力宏,2024,5,0.01,14
王力宏,2025,6,0.01,18
王宇宙Leto/乔浚丞,2024,2,0.01,6
王宇宙Leto/乔浚丞,2025,2,0.01,4
王源,2021,4,0.01,4
王源,2022,1,0.01,1
王源,2023,1,0.01,1
王源,2024,1,0.01,1
王源,2025,2,0.01,3
王菲,2021,2,0.01,3
王菲,2022,2,0.01,5
王菲,2023,1,0.01,5
王菲,2024,2,0.01,6
王菲,2025,2,0.01,6
王赫野,2021,2,0.01,4
