时间,榜单,歌曲数,平均热度,记录数
2021-01,巅峰榜·新歌,100,0.01,100
2021-01,巅峰榜·流行指数,100,0.01,100
2021-04,巅峰榜·新歌,100,0.01,100
2021-04,巅峰榜·流行指数,98,0.01,100
2021-07,巅峰榜·新歌,98,0.01,100
2021-07,巅峰榜·流行指数,96,0.01,100
2021-10,巅峰榜·新歌,100,0.01,100
2021-10,巅峰榜·流行指数,100,0.01,100
2022-01,巅峰榜·内地,100,0.01,100
2022-01,巅峰榜·新歌,100,0.01,100
2022-01,巅峰榜·流行指数,98,0.01,100
2022-04,巅峰榜·内地,100,0.01,100
2022-04,巅峰榜·新歌,97,0.01,99
2022-04,巅峰榜·流行指数,97,0.01,99
2022-07,巅峰榜·内地,100,0.01,100
2022-07,巅峰榜·新歌,100,0.01,100
2022-07,巅峰榜·流行指数,99,0.01,100
2022-07,巅峰榜·热歌,100,0.01,100
2022-10,巅峰榜·新歌,98,0.01,100
2022-10,巅峰榜·流行指数,99,0.01,100
2022-10,巅峰榜·热歌,99,0.01,100
2023-01,巅峰榜·内地,100,0.01,100
2023-01,巅峰榜·新歌,99,0.01,100
2023-01,巅峰榜·流行指数,99,0.01,100
2023-01,巅峰榜·热歌,98,0.01,100
2023-04,巅峰榜·内地,100,0.01,100
2023-04,巅峰榜·新歌,99,0.01,100
2023-04,巅峰榜·流行指数,97,0.01,100
2023-04,巅峰榜·热歌,99,0.01,100
2023-07,巅峰榜·新歌,92,0.01,100
2023-07,巅峰榜·流行指数,98,0.01,100
2023-07,巅峰榜·热歌,100,0.01,100
2023-10,巅峰榜·内地,100,0.01,100
2023-10,巅峰榜·新歌,97,0.01,100
2023-10,巅峰榜·流行指数,100,0.01,100
2023-10,巅峰榜·热歌,100,0.01,100
2024-01,巅峰榜·内地,100,0.01,100
2024-01,巅峰榜·新歌,97,0.01,100
2024-01,巅峰榜·流行指数,100,0.01,100
2024-01,巅峰榜·热歌,97,0.01,100
2024-04,巅峰榜·内地,100,0.01,100
2024-04,巅峰榜·新歌,98,0.01,100
2024-04,巅峰榜·流行指数,97,0.01,100
2024-04,巅峰榜·热歌,98,0.01,100
2024-07,巅峰榜·内地,99,0.01,99
2024-07,巅峰榜·新歌,96,0.01,99
2024-07,巅峰榜·流行指数,98,0.01,100
2024-07,巅峰榜·热歌,99,0.01,100
2024-10,巅峰榜·内地,100,0.01,100
2024-10,巅峰榜·新歌,98,0.01,100
2024-10,巅峰榜·流行指数,99,0.01,100
2024-10,巅峰榜·热歌,99,0.01,100
2025-01,巅峰榜·新歌,95,0.01,100
2025-01,巅峰榜·流行指数,96,0.01,100
2025-01,巅峰榜·热歌,98,0.01,100
2025-04,巅峰榜·内地,100,0.01,100
2025-04,巅峰榜·新歌,94,0.01,100
2025-04,巅峰榜·流行指数,96,0.01,100
2025-04,巅峰榜·热歌,98,0.01,100
2025-07,巅峰榜·内地,100,0.01,100
2025-07,巅峰榜·新歌,94,0.01,100
2025-07,巅峰榜·流行指数,97,0.01,100
2025-07,巅峰榜·热歌,100,0.01,100
2025-10,巅峰榜·新歌,100,0.01,100
2025-10,巅峰榜·流行指数,100,0.01,100
2025-10,巅峰榜·热歌,100,0.01,100
