排名,歌曲名,歌手,专辑,播放量,歌曲ID,榜单,上榜日期,平台,年份,月份,月份标签,得分,点赞量,评论数,综合热度,流派,热度分数
0,妈妈的话,Zyboy忠宇,妈妈的话,0,337085743,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,等不来花开,pro,等不来花开,0,356185380,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,孤勇者,陈奕迅,孤勇者,0,331839675,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,Letting Go,蔡健雅,说到爱,0,1030353,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,小城夏天,LBI利比（时柏尘）,小城夏天,0,350596811,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,再见莫妮卡,柏香果吖,再见莫妮卡,0,356989310,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,偏爱,张芸京,破天荒,0,473137,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,婉,郁可唯/王者荣耀,婉,0,361473966,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,就忘了吧,1K,就忘了吧,0,344531297,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,满天星辰不及你,ycccc,满天星辰不及你,0,335005029,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,红色高跟鞋,蔡健雅,若你碰到他,0,624649,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,美人鱼,林俊杰,第二天堂,0,95292,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,爱你,王心凌,爱你,0,95306,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,飞鸟和蝉,任然,飞鸟和蝉,0,270283298,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,一样的月光,徐佳莹,LaLa首张创作专辑,0,7063423,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,忘记时间,胡歌,仙剑奇侠传三 电视剧原声带,0,102350738,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,Free Loop,Daniel Powter,Daniel Powter (Deluxe Version),0,493220,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,此生不换,青鸟飞鱼,仙剑奇侠传三 电视剧原声带,0,102350740,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,三国恋,Tank,Fighting！生存之道,0,101190,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,晴天,周杰伦,叶惠美,0,97773,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,哪里都是你,队长,哪里都是你,0,229103825,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,单人券,张齐山,单人券,0,354601670,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,一路生花,温奕心,一路生花,0,294095266,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,平凡之路,朴树,猎户星座,0,7072290,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,一滴泪的时间 (Live),斑马森林,2020中国好声音 第13期,0,285106524,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,光的方向,张碧晨,长歌行 电视剧原声带,0,304010757,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,花海,周杰伦,魔杰座,0,449198,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,后来的我们,五月天,自传,0,107709592,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,海阔天空,BEYOND,乐与怒,0,4835784,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,江南,林俊杰,第二天堂,0,9063002,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,下完这场雨,后弦,下完这场雨,0,108787382,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,十年,陈奕迅,黑白灰,0,4830342,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,修炼爱情,林俊杰,因你 而在,0,5063375,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,牧马城市,毛不易,老男孩 电视剧原声带,0,213224236,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,小城夏天 (甜嗓版),胖虎（董欣怡）,小城夏天,0,359704515,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,单车,陈奕迅,Shall We Dance? Shall We Talk!,0,4907894,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,夜曲,周杰伦,十一月的萧邦,0,718477,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,爱过你这件事,西柚,爱过你这件事,0,238498800,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,这世界那么多人,莫文蔚,这世界那么多人 (电影《我要我们在一起》主题曲),0,309058164,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,老人与海,海鸣威/吴琼,Dance Dance Dance,0,392287,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,稻香,周杰伦,魔杰座,0,449205,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,堕,Zyboy忠宇,堕,0,356448017,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,可,薛之谦/张靓颖,无数,0,359289781,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,无赖,郑中基,Before After,0,96439,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,那年 (初版),任然,世界之外,0,998266,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,遇见,孙燕姿,The Moment,0,8145,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,大海 (柯柯吉他版),柯柯柯啊,大海 (柯柯吉他版),0,359255584,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,处处吻,杨千嬅,电光幻影,0,106691228,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
0,曾经的你,许巍,每一刻都是崭新的,0,95199,巅峰榜·热歌,2022-07-01,QQ音乐,2022,7,2022-07,0,0,0,,流行,0.01
