歌曲名,歌手,榜单,总播放量,平均热度,上榜次数,最佳排名,榜单排名
（……小小牧羊人）（feat. 微光古乐集）,吴青峰,['巅峰榜·新歌'],0,,1,0,1
'tis the damn season,Taylor Swift,['巅峰榜·新歌'],0,,1,0,2
02,Zyboy忠宇,['巅峰榜·新歌'],0,,1,0,3
0222心动,青川,['巅峰榜·新歌'],0,,1,0,4
0222心动-比尔的歌,Bomb比尔,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,5
0321,Roxy马瑞欣,['巅峰榜·流行指数'],0,,2,0,6
0599 On My Way Pt.3,刘宇轩,['巅峰榜·内地'],0,,1,0,7
0712奇怪-比尔的歌,Bomb比尔/火鸡,['巅峰榜·新歌'],0,,1,0,8
1+1,X-Yarkin,['巅峰榜·内地'],0,,1,0,9
1.1,鹿晗,['巅峰榜·流行指数'],0,,1,0,10
색안경 (STEREOTYPE) (有色眼镜),STAYC (스테이씨),['巅峰榜·新歌'],0,,1,0,11
새삥 (Prod. ZICO)(Feat. 호미들)(New thing),ZICO (지코)/Homies (호미들),['巅峰榜·新歌'],0,,1,0,12
비 오는 날 듣기 좋은 노래 (Feat. Colde) (Rain Song) (适合下雨天听的歌),Epik High (에픽하이)/Colde (콜드),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,13
불이나 (FIRE),EXID (이엑스아이디),['巅峰榜·新歌'],0,,1,0,14
봄눈 (春雪),10CM (십센치),['巅峰榜·流行指数'],0,,1,0,15
바라만 본다 (只是看看),MSG워너비 (M.O.M),['巅峰榜·新歌'],0,,1,0,16
러브레터 (Love Letter),IU (아이유),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,17
드라마 (Drama),IU (아이유),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,18
"눈,코,입 (眼，鼻，嘴)",TAEYANG (太阳),"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,1,0,19
네가 내 마음에 자리 잡았다 (Into You),N.Flying (엔플라잉),['巅峰榜·流行指数'],0,,1,0,20
너 (You),IU (아이유),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,21
"내가 S면 넌 나의 N이 되어줘 (If I'm S, Can You Be My N?)",TWS (투어스),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,22
꽃 (FLOWER) (花),JISOO (지수),"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,23
구원자 (Feat. B.I) (救赎者),李遐怡 (LeeHi)/B.I (金韩彬),['巅峰榜·新歌'],0,,1,0,24
겨울잠 (Winter Sleep),IU (아이유),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,25
가면무도회 (假面舞会),BIBI (비비),['巅峰榜·新歌'],0,,1,0,26
AMA FREESTYLE,step.jad依加,['巅峰榜·内地'],0,,1,0,27
AI Arena,STOLEN秘密行动,['巅峰榜·内地'],0,,1,0,28
A.I.N.Y. 爱你 (G.E.M.重生版),G.E.M. 邓紫棋,['巅峰榜·新歌'],0,,1,0,29
A&A,乃万NINEONE/99 God,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,30
A Way To Die,蒲熠星,['巅峰榜·新歌'],0,,1,0,31
A Girl Needs Love (feat.马思唯),TSP安琪,['巅峰榜·新歌'],0,,1,0,32
90s luv,稣,['巅峰榜·内地'],0,,1,0,33
8 Hours,小酷Coola,['巅峰榜·内地'],0,,1,0,34
5:23PM,宋亚轩,['巅峰榜·新歌'],0,,1,0,35
"5, 4, 3 (Pretty woman) (feat. Lay Bankz)",CxM (SEVENTEEN)/Lay Bankz,['巅峰榜·新歌'],0,,1,0,36
4Y,Bomb比尔,['巅峰榜·内地'],0,,1,0,37
3D (feat. Jack Harlow),Jung Kook/Jack Harlow,['巅峰榜·新歌'],0,,1,0,38
3977,李京泽,['巅峰榜·新歌'],0,,1,0,39
3611,陈子晴,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,40
32度的晚风,陆杰awr,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,41
321 READY GO,叶枫华,['巅峰榜·内地'],0,,1,0,42
Air,礼志 (YEJI),['巅峰榜·新歌'],0,,1,0,43
Agora Hills (Explicit),Doja Cat,['巅峰榜·新歌'],0,,1,0,44
Afterglow,蔡徐坤,['巅峰榜·新歌'],0,,1,0,45
Afterglow,Ed Sheeran,['巅峰榜·新歌'],0,,1,0,46
After After Party,傻子与白痴/魏如萱,['巅峰榜·内地'],0,,1,0,47
Advice From A Caterpillar,Kidult.,['巅峰榜·内地'],0,,1,0,48
Adrenaline (feat. 张杰),James Blunt/张杰,['巅峰榜·新歌'],0,,1,0,49
Action Figure,威神V(WayV),['巅峰榜·新歌'],0,,1,0,50
Abracadabra,i-dle (아이들),['巅峰榜·新歌'],0,,1,0,51
AYOU (重新出发吗),叶子舒,['巅峰榜·流行指数'],0,,1,0,52
APT.(Hard Bass硬燃) (Remix),Kord,['巅峰榜·流行指数'],0,,1,0,53
APT.,ROSÉ (로제)/Bruno Mars,"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,2,0,54
ANTI EMO,ATYANG,['巅峰榜·内地'],0,,1,0,55
ANGOSTURA (Explicit),keshi,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,56
ANGEL+不得不爱,YYY,['巅峰榜·新歌'],0,,1,0,57
ANGEL (天使),尹美莱 (윤미래)/Tiger JK/Bizzy (비지),['巅峰榜·热歌'],0,,1,0,58
Animal,So Far So Good 恰好乐队,['巅峰榜·内地'],0,,1,0,59
Angels (Radio Edit),Vicetone/Kat Nestel,['巅峰榜·流行指数'],0,,1,0,60
Angel Baby,Troye Sivan,['巅峰榜·新歌'],0,,1,0,61
Angel,萨吉,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,62
Angel,ALOUIS,['巅峰榜·内地'],0,,1,0,63
Always Online,林俊杰,"['巅峰榜·热歌', '巅峰榜·流行指数']",0,,14,0,64
Alright,Lambert凌杰/Woo,"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,65
All they way up!,WishU威绪,['巅峰榜·内地'],0,,1,0,66
All Of The Girls You Loved Before,Taylor Swift,['巅峰榜·新歌'],0,,1,0,67
All My People,Alexandra Stan/Manilla Maniacs,['巅峰榜·流行指数'],0,,1,0,68
All In Your Mind,林俊杰,['巅峰榜·新歌'],0,,1,0,69
All I Got,伯贤 (백현),"['巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,70
All Eyes On Me,JISOO (지수),"['巅峰榜·热歌', '巅峰榜·流行指数', '巅峰榜·新歌']",0,,1,0,71
All About Me,CK梨/A7i/胡洺嘉/142,['巅峰榜·内地'],0,,1,0,72
Alcohol-Free,TWICE (트와이스),['巅峰榜·新歌'],0,,1,0,73
