年份,流派,歌曲数,平均热度,记录数,占比
2021,R&B,7,0.01,14,1.75
2021,古风,6,0.01,8,1.0
2021,摇滚,9,0.01,11,1.38
2021,民谣,3,0.01,3,0.38
2021,流行,589,0.01,745,93.12
2021,电子,11,0.01,12,1.5
2021,说唱,5,0.01,7,0.88
2022,R&B,2,0.01,3,0.23
2022,古风,1,0.01,1,0.08
2022,摇滚,12,0.01,16,1.23
2022,民谣,2,0.01,2,0.15
2022,流行,935,0.01,1265,97.46
2022,电子,4,0.01,6,0.46
2022,说唱,4,0.01,5,0.39
2023,R&B,3,0.01,4,0.27
2023,古风,1,0.01,1,0.07
2023,摇滚,22,0.01,24,1.6
2023,流行,941,0.01,1459,97.27
2023,电子,7,0.01,7,0.47
2023,说唱,4,0.01,5,0.33
2024,R&B,2,0.01,2,0.13
2024,摇滚,21,0.01,25,1.56
2024,民谣,2,0.01,2,0.13
2024,流行,1069,0.01,1557,97.43
2024,电子,10,0.01,10,0.63
2024,说唱,2,0.01,2,0.13
2025,R&B,1,0.01,2,0.14
2025,摇滚,14,0.01,17,1.21
2025,民谣,2,0.01,2,0.14
2025,流行,851,0.01,1374,98.14
2025,电子,2,0.01,2,0.14
2025,说唱,2,0.01,3,0.21
