时间,流派,歌曲数,平均热度,记录数
2021-01,R&B,1,0.01,1
2021-01,民谣,2,0.01,2
2021-01,流行,174,0.01,192
2021-01,电子,3,0.01,3
2021-01,说唱,2,0.01,2
2021-04,R&B,7,0.01,13
2021-04,古风,2,0.01,4
2021-04,摇滚,1,0.01,1
2021-04,民谣,1,0.01,1
2021-04,流行,143,0.01,178
2021-04,电子,2,0.01,2
2021-04,说唱,1,0.01,1
2021-07,古风,1,0.01,1
2021-07,摇滚,7,0.01,9
2021-07,流行,141,0.01,182
2021-07,电子,3,0.01,4
2021-07,说唱,2,0.01,4
2021-10,古风,3,0.01,3
2021-10,摇滚,1,0.01,1
2021-10,流行,172,0.01,193
2021-10,电子,3,0.01,3
2022-01,流行,251,0.01,296
2022-01,电子,1,0.01,2
2022-01,说唱,1,0.01,2
2022-04,R&B,2,0.01,3
2022-04,摇滚,6,0.01,8
2022-04,流行,228,0.01,285
2022-04,电子,2,0.01,2
2022-07,古风,1,0.01,1
2022-07,摇滚,6,0.01,7
2022-07,民谣,1,0.01,1
2022-07,流行,320,0.01,389
2022-07,电子,1,0.01,2
2022-10,摇滚,1,0.01,1
2022-10,民谣,1,0.01,1
2022-10,流行,231,0.01,295
2022-10,说唱,3,0.01,3
2023-01,R&B,2,0.01,3
2023-01,古风,1,0.01,1
2023-01,摇滚,11,0.01,12
2023-01,流行,302,0.01,382
2023-01,电子,2,0.01,2
2023-04,摇滚,3,0.01,3
2023-04,流行,341,0.01,392
2023-04,电子,2,0.01,2
2023-04,说唱,2,0.01,3
2023-07,R&B,1,0.01,1
2023-07,摇滚,2,0.01,3
2023-07,流行,225,0.01,295
2023-07,电子,1,0.01,1
2023-10,摇滚,6,0.01,6
2023-10,流行,323,0.01,390
2023-10,电子,2,0.01,2
2023-10,说唱,2,0.01,2
2024-01,摇滚,3,0.01,3
2024-01,民谣,1,0.01,1
2024-01,流行,316,0.01,390
2024-01,电子,5,0.01,5
2024-01,说唱,1,0.01,1
2024-04,摇滚,5,0.01,5
2024-04,流行,333,0.01,393
2024-04,电子,1,0.01,1
2024-04,说唱,1,0.01,1
2024-07,R&B,1,0.01,1
2024-07,摇滚,5,0.01,6
2024-07,流行,321,0.01,389
2024-07,电子,2,0.01,2
2024-10,R&B,1,0.01,1
2024-10,摇滚,8,0.01,11
2024-10,民谣,1,0.01,1
2024-10,流行,311,0.01,385
2024-10,电子,2,0.01,2
2025-01,R&B,1,0.01,2
2025-01,摇滚,1,0.01,1
2025-01,流行,215,0.01,292
2025-01,电子,2,0.01,2
2025-01,说唱,2,0.01,3
2025-04,摇滚,6,0.01,6
2025-04,民谣,1,0.01,1
2025-04,流行,308,0.01,393
2025-07,摇滚,7,0.01,7
2025-07,民谣,1,0.01,1
2025-07,流行,328,0.01,392
2025-10,摇滚,3,0.01,3
2025-10,流行,208,0.01,297
